datetime,symbol,contract_month,session,open,high,low,close,volume,open_interest
2025-11-13,TMF,202511,regular,28045,28046,27805,27979,86638,43006
2025-11-14,TMF,202511,regular,27508,27595,27365,27402,81794,48291
2025-11-17,TMF,202511,regular,27577,27690,27465,27480,82230,37657
2025-11-18,TMF,202511,regular,27160,27298,26774,26800,103274,35122
2025-11-19,TMF,202511,regular,26820,26915,26536,26613,51230,18628
2025-11-20,TMF,202512,regular,27290,27492,27200,27485,113398,40057
2025-11-21,TMF,202512,regular,26764,26769,26396,26485,122618,55010
2025-11-24,TMF,202512,regular,26700,26729,26537,26615,82631,44941
2025-11-25,TMF,202512,regular,27055,27103,26774,26934,87460,41737
2025-11-26,TMF,202512,regular,27180,27382,27132,27334,80402,47286
2025-11-27,TMF,202512,regular,27517,27648,27462,27581,82849,48684
2025-11-28,TMF,202512,regular,27589,27852,27558,27745,72679,51142
2025-12-01,TMF,202512,regular,27680,27680,27403,27406,84181,48334
2025-12-02,TMF,202512,regular,27670,27788,27530,27563,72104,44959
2025-12-03,TMF,202512,regular,27802,27889,27691,27759,70594,46505
2025-12-04,TMF,202512,regular,27843,27878,27671,27795,67893,48042
2025-12-05,TMF,202512,regular,27785,28019,27764,28018,81444,51250
2025-12-08,TMF,202512,regular,28051,28298,28021,28287,61365,49066
2025-12-09,TMF,202512,regular,28319,28360,28203,28224,49902,46627
2025-12-10,TMF,202512,regular,28276,28433,28253,28397,64304,47635
2025-12-11,TMF,202512,regular,28609,28612,28060,28106,100503,48113
2025-12-12,TMF,202512,regular,28266,28341,28158,28294,58842,43504
2025-12-15,TMF,202512,regular,27822,27983,27754,27909,56295,41194
2025-12-16,TMF,202512,regular,27644,27690,27411,27625,80360,35917
2025-12-17,TMF,202512,regular,27614,27773,27475,27482,38590,20301
2025-12-18,TMF,202601,regular,27493,27678,27458,27589,94612,48691
2025-12-19,TMF,202601,regular,27802,27984,27797,27897,79934,42996
2025-12-22,TMF,202601,regular,28260,28367,28170,28339,67958,40134
2025-12-23,TMF,202601,regular,28387,28455,28358,28414,46925,42251
2025-12-24,TMF,202601,regular,28562,28580,28400,28469,48580,43941
2025-12-26,TMF,202601,regular,28580,28714,28537,28674,58329,46828
2025-12-29,TMF,202601,regular,28739,28998,28714,28948,64465,50104
2025-12-30,TMF,202601,regular,28782,28941,28705,28880,57105,48456
2025-12-31,TMF,202601,regular,28841,29052,28782,29022,67683,51411
